Team,Scored,Allowed,Count,"Succ. rate"
"SAN JOSE SHARKS",14,1,28,0.4642857
"CHICAGO BLACKHAWKS",11,3,21,0.3809524
"PITTSBURGH PENGUINS",11,2,24,0.375
"VEGAS GOLDEN KNIGHTS",16,6,30,0.3333333
"MINNESOTA WILD",22,8,42,0.3333333
"LOS ANGELES KINGS",14,5,30,0.3
"DALLAS STARS",12,5,26,0.2692308
"BOSTON BRUINS",18,8,39,0.2564103
"CAROLINA HURRICANES",9,3,25,0.24
"COLUMBUS BLUE JACKETS",10,4,25,0.24
"ST. LOUIS BLUES",12,5,31,0.2258065
"EDMONTON OILERS",11,6,23,0.2173913
"NASHVILLE PREDATORS",10,3,33,0.2121212
"WASHINGTON CAPITALS",16,7,43,0.2093023
"COLORADO AVALANCHE",20,12,39,0.2051282
"PHILADELPHIA FLYERS",15,8,36,0.1944444
"WINNIPEG JETS",13,6,37,0.1891892
"VANCOUVER CANUCKS",7,3,24,0.1666667
"FLORIDA PANTHERS",11,6,35,0.1428571
"NEW YORK RANGERS",13,10,30,0.1
"TORONTO MAPLE LEAFS",12,9,31,0.0967742
"TAMPA BAY LIGHTNING",9,6,31,0.0967742
"MONTREAL CANADIENS",9,7,23,0.0869565
"ANAHEIM DUCKS",9,7,32,0.0625
"BUFFALO SABRES",11,10,26,0.0384615
"ARIZONA COYOTES",8,7,26,0.0384615
"CALGARY FLAMES",5,5,25,0
"NEW JERSEY DEVILS",5,6,30,-0.0333333
"NEW YORK ISLANDERS",7,8,26,-0.0384615
"DETROIT RED WINGS",5,7,20,-0.1
"OTTAWA SENATORS",4,7,20,-0.15
