Team,Scored,Allowed,Count,"Succ. rate"
"OTTAWA SENATORS",12,3,27,0.3333333
"ST. LOUIS BLUES",8,2,20,0.3
"FLORIDA PANTHERS",8,2,22,0.2727273
"CAROLINA HURRICANES",12,5,29,0.2413793
"DETROIT RED WINGS",9,2,29,0.2413793
"NEW YORK ISLANDERS",8,3,23,0.2173913
"CALGARY FLAMES",11,5,28,0.2142857
"BUFFALO SABRES",9,5,22,0.1818182
"MONTREAL CANADIENS",10,5,28,0.1785714
"BOSTON BRUINS",6,3,18,0.1666667
"WASHINGTON CAPITALS",7,5,17,0.1176471
"VANCOUVER CANUCKS",8,5,26,0.1153846
"CHICAGO BLACKHAWKS",11,8,28,0.1071429
"SAN JOSE SHARKS",7,4,28,0.1071429
"NEW YORK RANGERS",6,4,20,0.1
"NASHVILLE PREDATORS",7,5,27,0.0740741
"LOS ANGELES KINGS",4,3,16,0.0625
"MINNESOTA WILD",6,5,20,0.05
"PHILADELPHIA FLYERS",5,4,20,0.05
"PHOENIX COYOTES",3,2,20,0.05
"WINNIPEG JETS",7,6,22,0.0454545
"COLORADO AVALANCHE",5,4,26,0.0384615
"TAMPA BAY LIGHTNING",6,6,25,0
"ANAHEIM DUCKS",7,8,29,-0.0344828
"DALLAS STARS",6,7,25,-0.04
"NEW JERSEY DEVILS",4,6,32,-0.0625
"TORONTO MAPLE LEAFS",5,7,24,-0.0833333
"PITTSBURGH PENGUINS",5,7,17,-0.1176471
"COLUMBUS BLUE JACKETS",2,5,18,-0.1666667
"EDMONTON OILERS",1,5,17,-0.2352941
