Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Washington Capitals,55-19-8,2-5,8-3,32-7-2,23-12-6,36-11-7,19-8-1,18-4-2,18-7-5,11-2-1,8-6-0,20-5-8,22-8-0,5-2-1,8-4-1,8-3-3,12-2-1,9-2-1,9-5-1,4-1-0
2,Pittsburgh Penguins,50-21-11,4-5,6-6,31-6-4,19-15-7,35-14-5,15-7-6,15-6-3,20-8-2,6-7-1,9-0-5,19-3-11,24-15-0,6-2-1,7-5-2,12-1-2,6-5-0,7-2-3,9-4-3,3-2-0
3,Chicago Blackhawks,50-23-9,4-1,9-8,26-10-5,24-13-4,20-9-3,30-14-6,10-5-1,10-4-2,19-8-2,11-6-4,24-9-9,14-8-0,5-3-1,10-3-2,8-5-2,7-6-0,9-1-0,11-3-2,0-2-2
4,Columbus Blue Jackets,50-24-8,2-2,9-6,28-12-1,22-12-7,33-16-5,17-8-3,15-7-2,18-9-3,8-4-2,9-4-1,23-9-8,16-7-0,3-3-1,9-2-3,14-0-0,7-7-0,6-4-2,10-4-2,1-4-0
5,Minnesota Wild,49-25-8,3-2,4-6,27-12-2,22-13-6,18-11-3,31-14-5,13-2-1,5-9-2,17-9-3,14-5-2,19-13-8,18-4-0,6-2-1,5-6-2,12-1-1,10-2-1,8-3-1,4-10-2,4-1-0
6,Anaheim Ducks,46-23-13,3-3,3-10,29-8-4,17-15-9,16-10-6,30-13-7,9-4-3,7-6-3,12-7-2,18-6-5,22-9-13,15-10-0,3-4-2,8-4-2,7-4-4,10-3-1,4-6-1,10-2-2,4-0-1
7,Edmonton Oilers,47-26-9,4-5,6-4,25-12-4,22-14-5,14-15-3,33-11-6,8-6-2,6-9-1,13-5-3,20-6-3,21-8-9,17-7-0,7-2-0,5-8-2,7-2-5,9-4-1,6-6-0,9-3-1,4-1-0
8,Montreal Canadiens,47-26-9,3-2,11-7,24-12-5,23-14-4,32-15-7,15-11-2,19-5-6,13-10-1,6-7-1,9-4-1,23-9-9,18-9-0,8-0-1,8-5-1,6-4-4,8-5-1,5-7-1,9-3-1,3-2-0
9,New York Rangers,48-28-6,3-4,5-2,21-16-4,27-12-2,27-22-5,21-6-1,12-9-3,15-13-2,10-4-0,11-2-1,23-10-6,18-8-0,6-3-0,10-4-1,10-5-0,5-6-0,9-3-1,6-5-4,2-2-0
10,San Jose Sharks,46-29-7,2-1,6-6,26-11-4,20-18-3,21-7-4,25-22-3,10-3-3,11-4-1,9-11-0,16-11-3,19-14-7,14-11-0,6-3-0,8-6-1,9-4-0,9-4-1,5-1-5,6-10-0,3-1-0
11,St. Louis Blues,46-29-7,2-2,6-5,24-12-5,22-17-2,19-12-1,27-17-6,10-5-1,9-7-0,14-12-3,13-5-3,19-6-7,18-13-0,5-2-2,8-5-1,6-6-2,5-8-0,7-5-0,11-2-2,4-1-0
12,Ottawa Senators,44-28-10,6-4,4-6,22-11-8,22-17-2,29-18-7,15-10-3,14-12-4,15-6-3,6-7-1,9-3-2,21-9-10,10-14-0,5-3-0,9-5-1,6-4-3,6-4-2,7-6-0,8-4-3,3-2-1
13,Boston Bruins,44-31-7,2-3,4-4,23-17-1,21-14-6,27-20-7,17-11-0,18-10-2,9-10-5,8-6-0,9-5-0,19-11-7,19-10-0,4-4-0,8-6-1,8-5-3,6-6-2,7-3-0,8-6-0,3-1-1
14,Toronto Maple Leafs,40-27-15,1-8,6-7,21-13-7,19-14-8,30-17-7,10-10-8,18-9-3,12-8-4,5-5-4,5-5-4,14-8-15,14-15-0,2-4-3,8-5-1,6-3-3,7-4-2,5-5-4,9-3-2,3-3-0
15,Calgary Flames,45-33-4,4-2,9-2,24-17-0,21-16-4,18-13-1,27-20-3,11-5-0,7-8-1,14-7-0,13-13-3,20-5-4,16-14-0,4-5-1,7-8-1,9-4-0,5-7-1,9-2-1,10-4-0,1-3-0
16,Tampa Bay Lightning,42-30-10,4-3,6-7,23-14-4,19-16-6,30-18-6,12-12-4,19-7-4,11-11-2,7-5-2,5-7-2,15-5-10,20-12-0,5-4-0,8-6-1,6-5-3,3-8-2,6-2-2,10-4-1,4-1-1
17,Nashville Predators,41-29-12,2-4,4-8,24-9-8,17-20-4,14-12-6,27-17-6,6-8-2,8-4-4,16-12-1,11-5-5,14-8-12,14-13-0,2-5-1,9-3-2,5-6-3,8-4-2,8-4-1,7-5-2,2-2-1
18,New York Islanders,41-29-12,2-4,6-8,22-12-7,19-17-5,26-20-8,15-9-4,11-10-3,15-10-5,7-5-2,8-4-2,15-10-12,12-12-0,4-5-0,4-5-4,7-5-2,7-2-3,7-5-1,7-7-2,5-0-0
19,Philadelphia Flyers,39-33-10,7-5,7-5,25-11-5,14-22-5,25-23-6,14-10-4,13-9-2,12-14-4,8-5-1,6-5-3,20-9-10,8-14-0,4-5-1,7-5-2,9-4-1,5-6-2,4-6-1,8-6-1,2-1-2
20,Winnipeg Jets,40-35-7,3-1,4-6,22-18-1,18-17-6,14-14-4,26-21-3,8-6-2,6-8-2,19-8-2,7-13-1,18-11-7,12-18-0,4-5-0,7-7-2,6-7-1,7-6-1,4-5-2,8-5-1,4-0-0
21,Carolina Hurricanes,36-31-15,3-6,5-9,23-12-6,13-19-9,24-20-10,12-11-5,13-5-6,11-15-4,6-5-3,6-6-2,18-10-15,8-11-0,2-4-2,7-5-2,7-4-3,6-7-0,3-5-2,10-2-5,1-4-1
22,Los Angeles Kings,39-35-8,2-4,12-4,23-16-2,16-19-6,15-15-2,24-20-6,6-9-1,9-6-1,12-6-3,12-14-3,19-13-8,12-14-0,4-5-0,8-5-1,6-5-3,7-6-0,5-6-2,7-6-1,2-2-1
23,Florida Panthers,35-36-11,5-6,7-5,19-19-3,16-17-8,22-25-7,13-11-4,11-14-5,11-11-2,7-5-2,6-6-2,19-12-11,10-16-0,4-4-1,7-6-1,5-4-6,6-5-2,7-4-0,4-10-1,2-3-0
24,Dallas Stars,34-37-11,1-2,5-9,22-13-6,12-24-5,12-16-4,22-21-7,5-10-1,7-6-3,9-15-5,13-6-2,17-8-11,10-17-0,3-4-1,6-5-5,7-6-1,5-5-3,4-8-0,6-7-1,3-2-0
25,Detroit Red Wings,33-36-13,9-0,7-13,17-17-7,16-19-6,19-24-11,14-12-2,8-15-7,11-9-4,8-5-1,6-7-1,20-12-13,7-15-0,6-4-0,5-6-2,5-6-2,4-5-5,5-5-1,6-8-2,2-2-1
26,Buffalo Sabres,33-37-12,2-6,6-6,20-15-6,13-22-6,19-26-9,14-11-3,13-13-4,6-13-5,7-5-2,7-6-1,18-9-12,9-14-0,3-3-2,5-6-3,5-6-3,7-5-1,6-6-2,6-7-1,1-4-0
27,Arizona Coyotes,30-42-10,6-2,4-8,18-18-5,12-24-5,13-15-4,17-27-6,6-7-3,7-8-1,5-15-1,12-12-5,20-12-10,5-22-0,2-6-0,6-4-3,3-11-2,5-6-1,6-6-1,6-8-2,2-1-1
