Team,Scored,Allowed,Count,"Succ. rate"
"NASHVILLE PREDATORS",14,1,36,0.3611111
"OTTAWA SENATORS",14,5,26,0.3461538
"DALLAS STARS",11,2,27,0.3333333
"BOSTON BRUINS",8,1,22,0.3181818
"CHICAGO BLACKHAWKS",13,4,29,0.3103448
"FLORIDA PANTHERS",11,3,28,0.2857143
"LOS ANGELES KINGS",9,3,24,0.25
"EDMONTON OILERS",7,2,21,0.2380952
"NEW YORK RANGERS",10,3,32,0.21875
"SAN JOSE SHARKS",7,2,26,0.1923077
"PITTSBURGH PENGUINS",8,3,26,0.1923077
"PHOENIX COYOTES",7,3,21,0.1904762
"ST. LOUIS BLUES",9,3,34,0.1764706
"NEW YORK ISLANDERS",10,6,26,0.1538462
"ANAHEIM DUCKS",6,2,27,0.1481481
"MINNESOTA WILD",5,2,21,0.1428571
"CALGARY FLAMES",9,5,29,0.137931
"NEW JERSEY DEVILS",10,6,31,0.1290323
"WASHINGTON CAPITALS",6,3,25,0.12
"CAROLINA HURRICANES",6,3,25,0.12
"COLUMBUS BLUE JACKETS",9,6,26,0.1153846
"PHILADELPHIA FLYERS",7,4,30,0.1
"COLORADO AVALANCHE",6,4,26,0.0769231
"VANCOUVER CANUCKS",7,5,26,0.0769231
"DETROIT RED WINGS",6,4,28,0.0714286
"BUFFALO SABRES",4,3,21,0.047619
"TAMPA BAY LIGHTNING",6,5,23,0.0434783
"TORONTO MAPLE LEAFS",4,4,23,0
"MONTREAL CANADIENS",5,6,20,-0.05
"WINNIPEG JETS",4,7,26,-0.1153846
