Team,Scored,Allowed,Count,"Succ. rate"
"CHICAGO BLACKHAWKS",16,3,27,0.4814815
"PHILADELPHIA FLYERS",11,1,25,0.4
"WASHINGTON CAPITALS",16,4,36,0.3333333
"FLORIDA PANTHERS",9,1,30,0.2666667
"PITTSBURGH PENGUINS",9,4,25,0.2
"WINNIPEG JETS",8,4,21,0.1904762
"ST. LOUIS BLUES",7,3,22,0.1818182
"MINNESOTA WILD",8,3,28,0.1785714
"BOSTON BRUINS",12,6,34,0.1764706
"LOS ANGELES KINGS",9,5,25,0.16
"MONTREAL CANADIENS",7,3,27,0.1481481
"CAROLINA HURRICANES",7,3,28,0.1428571
"NEW YORK RANGERS",7,3,29,0.137931
"CALGARY FLAMES",9,5,34,0.1176471
"PHOENIX COYOTES",9,5,35,0.1142857
"COLUMBUS BLUE JACKETS",7,4,27,0.1111111
"NASHVILLE PREDATORS",7,4,30,0.1
"DETROIT RED WINGS",9,7,32,0.0625
"VANCOUVER CANUCKS",8,6,33,0.0606061
"OTTAWA SENATORS",4,3,22,0.0454545
"NEW JERSEY DEVILS",6,5,24,0.0416667
"DALLAS STARS",6,5,27,0.037037
"EDMONTON OILERS",9,8,34,0.0294118
"SAN JOSE SHARKS",7,6,37,0.027027
"BUFFALO SABRES",3,4,26,-0.0384615
"TORONTO MAPLE LEAFS",6,7,21,-0.047619
"ANAHEIM DUCKS",4,7,25,-0.12
"TAMPA BAY LIGHTNING",2,5,20,-0.15
"NEW YORK ISLANDERS",5,9,22,-0.1818182
"COLORADO AVALANCHE",0,4,16,-0.25
