Team,Scored,Allowed,Count,"Succ. rate"
"NEW YORK ISLANDERS",8,2,16,0.375
"NEW JERSEY DEVILS",9,1,22,0.3636364
"NEW YORK RANGERS",7,0,20,0.35
"NASHVILLE PREDATORS",12,4,26,0.3076923
"CHICAGO BLACKHAWKS",10,3,24,0.2916667
"ST. LOUIS BLUES",8,2,21,0.2857143
"VANCOUVER CANUCKS",11,3,31,0.2580645
"PHOENIX COYOTES",14,5,35,0.2571429
"EDMONTON OILERS",7,3,16,0.25
"BOSTON BRUINS",12,4,36,0.2222222
"WASHINGTON CAPITALS",12,6,34,0.1764706
"SAN JOSE SHARKS",9,4,30,0.1666667
"COLUMBUS BLUE JACKETS",9,5,25,0.16
"OTTAWA SENATORS",7,3,25,0.16
"DETROIT RED WINGS",7,3,28,0.1428571
"PHILADELPHIA FLYERS",11,7,33,0.1212121
"MINNESOTA WILD",8,5,26,0.1153846
"BUFFALO SABRES",6,4,18,0.1111111
"PITTSBURGH PENGUINS",10,7,29,0.1034483
"TAMPA BAY LIGHTNING",9,7,30,0.0666667
"CAROLINA HURRICANES",5,4,24,0.0416667
"LOS ANGELES KINGS",7,6,30,0.0333333
"MONTREAL CANADIENS",4,4,29,0
"DALLAS STARS",5,5,28,0
"TORONTO MAPLE LEAFS",3,3,26,0
"ANAHEIM DUCKS",4,5,31,-0.0322581
"CALGARY FLAMES",6,7,26,-0.0384615
"FLORIDA PANTHERS",3,5,19,-0.1052632
"WINNIPEG JETS",2,4,15,-0.1333333
"COLORADO AVALANCHE",3,6,18,-0.1666667
