Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Washington Capitals,54-15-13,5-6,6-7,30-5-6,24-10-7,44-10-10,10-5-3,14-3-3,11-4-5,19-3-2,4-1-2,3-2-0,3-2-1,20-8-13,22-6-0,8-2-3,8-3-3,8-5-0,13-2-0,4-1-2,8-2-4,5-0-1
2,San Jose Sharks,51-20-11,7-6,1-5,27-6-8,24-14-3,12-4-2,39-16-9,5-1-0,4-1-1,3-2-1,11-5-4,14-5-1,14-6-4,20-6-11,20-10-0,9-4-1,9-2-3,8-2-3,10-2-2,4-3-0,7-7-1,4-0-1
3,Chicago Blackhawks,52-22-8,9-6,6-2,29-8-4,23-14-4,11-5-2,41-17-6,4-2-0,4-2-0,3-1-2,15-8-1,16-2-2,10-7-3,23-9-8,23-5-0,8-4-1,8-2-2,11-4-0,10-4-1,4-1-1,6-7-2,5-0-1
4,Phoenix Coyotes,50-25-7,14-6,5-1,29-10-2,21-15-5,11-6-1,39-19-6,4-1-1,3-3-0,4-2-0,13-5-2,13-7-0,13-7-4,29-6-7,13-11-0,9-4-0,6-7-1,10-2-3,8-5-1,4-3-0,10-4-1,3-0-1
5,Vancouver Canucks,49-28-5,4-4,4-1,30-8-3,19-20-2,13-5-0,36-23-5,4-1-0,6-2-0,3-2-0,10-9-1,15-7-2,11-7-2,17-8-5,23-8-0,7-7-0,7-5-0,10-4-1,10-2-1,3-4-0,9-4-2,3-2-1
6,New Jersey Devils,48-27-7,6-5,2-2,27-10-4,21-17-3,41-18-5,7-9-2,14-8-2,13-4-3,14-6-0,3-2-2,1-4-0,3-3-0,21-7-7,15-10-0,8-4-0,9-2-1,11-4-0,7-7-1,2-4-1,7-5-3,4-1-1
7,Detroit Red Wings,44-24-14,6-9,5-5,25-10-6,19-14-8,9-6-3,35-18-11,2-2-2,4-2-0,3-2-1,14-6-4,11-6-3,10-6-4,23-7-14,11-10-0,5-4-3,8-5-1,7-5-2,6-5-4,2-2-2,12-2-1,4-1-1
8,Pittsburgh Penguins,47-28-7,8-2,6-5,25-12-4,22-16-3,38-21-5,9-7-2,15-8-1,14-6-0,9-7-4,3-1-2,3-3-0,3-3-0,25-7-7,17-15-0,11-3-0,8-6-0,7-5-1,8-7-0,2-1-3,8-4-3,3-2-0
9,Los Angeles Kings,46-27-9,10-8,4-1,22-13-6,24-14-3,14-4-0,32-23-9,5-2-0,5-1-0,4-1-0,8-10-2,9-7-4,15-6-3,25-10-9,14-10-0,8-4-2,7-6-0,8-5-1,10-4-0,4-1-1,6-7-2,3-0-3
10,Nashville Predators,47-29-6,8-4,6-2,24-14-3,23-15-3,12-4-2,35-25-4,4-1-1,2-3-0,6-0-1,14-8-2,12-7-1,9-10-1,28-9-6,5-10-0,6-6-1,9-4-0,9-4-2,6-7-0,3-2-2,11-5-1,3-1-0
11,Buffalo Sabres,45-27-10,4-6,6-4,25-10-6,20-17-4,35-22-7,10-5-3,11-7-2,12-8-4,12-7-1,4-1-1,2-2-1,4-2-1,21-9-10,16-8-0,8-2-1,7-5-1,9-4-2,8-3-3,1-4-2,10-5-1,2-4-0
12,Colorado Avalanche,43-30-9,7-5,2-4,24-14-3,19-16-6,12-5-1,31-25-8,2-3-0,5-0-0,5-2-1,12-5-3,10-11-3,9-9-2,23-10-9,16-10-0,10-2-2,5-6-3,8-5-1,7-5-0,5-2-0,6-8-1,2-2-2
13,Ottawa Senators,44-32-6,5-5,5-1,26-11-4,18-21-2,35-24-5,9-8-1,10-9-1,14-7-3,11-8-1,3-1-1,5-3-0,1-4-0,20-5-6,10-22-0,6-4-2,7-3-2,8-9-0,10-5-0,5-2-0,6-7-1,2-2-1
14,Boston Bruins,39-30-13,10-9,4-4,18-17-6,21-13-7,32-23-9,7-7-4,7-9-4,13-8-3,12-6-2,2-3-1,3-1-1,2-3-2,19-14-13,13-11-0,6-5-1,7-3-4,7-4-2,3-9-2,4-1-2,8-7-1,4-1-1
15,Calgary Flames,40-32-10,3-7,2-3,20-17-4,20-15-6,11-5-2,29-27-8,2-3-0,5-2-1,4-0-1,7-11-2,12-9-3,10-7-3,18-15-10,10-10-0,7-4-1,10-2-2,6-6-2,4-8-3,3-3-1,9-6-0,1-3-1
16,St. Louis Blues,40-32-10,7-5,3-5,18-18-5,22-14-5,9-7-2,31-25-8,5-1-1,2-3-0,2-3-1,10-11-3,10-8-2,11-6-3,21-9-10,12-10-0,5-6-1,5-4-4,7-7-1,7-5-3,4-3-0,9-5-0,3-2-1
