Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Nashville Predators,53-18-11,6-7,5-4,28-9-4,25-9-7,18-9-5,35-9-6,8-5-3,10-4-2,18-5-3,17-4-3,24-4-11,16-8-0,5-4-2,10-3-1,8-3-2,6-2-2,10-2-2,11-3-2,3-1-0
2,Winnipeg Jets,52-20-10,4-2,5-8,32-7-2,20-13-8,19-7-6,33-13-4,10-3-3,9-4-3,15-9-2,18-4-2,22-4-10,23-11-0,6-3-2,9-3-2,8-5-2,7-2-2,7-4-1,11-3-1,4-0-0
3,Tampa Bay Lightning,54-23-5,6-2,6-3,29-10-2,25-13-3,33-14-5,21-9-0,18-8-2,15-6-3,11-3-0,10-6-0,23-6-5,20-11-0,10-2-1,7-4-1,11-2-0,6-5-1,9-4-1,9-5-0,2-1-1
4,Boston Bruins,50-20-12,3-3,6-9,28-8-5,22-12-7,33-11-8,17-9-4,18-8-2,15-3-6,7-4-3,10-5-1,21-3-12,21-7-0,4-3-3,7-5-1,10-2-2,8-1-2,9-4-0,11-2-3,1-3-1
5,Vegas Golden Knights,51-24-7,4-3,8-4,29-10-2,22-14-5,18-11-3,33-13-4,10-4-2,8-7-1,13-7-1,20-6-3,22-9-7,21-11-0,8-3-0,7-5-1,11-1-1,7-3-2,8-5-1,9-5-2,1-2-0
6,Toronto Maple Leafs,49-26-7,7-2,5-5,29-10-2,20-16-5,30-17-5,19-9-2,17-8-3,13-9-2,8-4-2,11-5-0,25-6-7,19-7-0,7-5-0,10-4-1,6-6-1,6-3-3,10-2-2,8-5-0,2-1-0
7,Washington Capitals,49-26-7,3-1,8-6,28-11-2,21-15-5,33-14-5,16-12-2,16-6-2,17-8-3,9-4-1,7-8-1,20-6-7,14-14-0,5-6-1,9-5-0,10-2-2,6-2-2,6-6-2,10-4-0,3-1-0
8,Minnesota Wild,45-26-11,3-3,4-8,27-6-8,18-20-3,20-8-4,25-18-7,10-5-1,10-3-3,13-12-1,12-6-6,12-4-11,20-14-0,4-4-2,8-6-1,8-6-0,7-2-2,9-2-2,7-5-3,2-1-1
9,Anaheim Ducks,44-25-13,4-7,5-6,26-10-5,18-15-8,19-10-3,25-15-10,8-7-1,11-3-2,10-8-3,15-7-7,18-4-13,14-9-0,6-4-1,5-6-3,7-4-4,7-3-1,6-4-3,9-4-1,4-0-0
10,Pittsburgh Penguins,47-29-6,2-2,12-4,30-9-2,17-20-4,33-17-2,14-12-4,15-9-0,18-8-2,5-6-3,9-6-1,19-12-6,18-12-0,7-5-1,6-5-2,6-8-0,9-3-0,8-3-1,9-4-2,2-1-0
