Team,Scored,Allowed,Count,"Succ. rate"
"CAROLINA HURRICANES",12,5,24,0.2916667
"NEW JERSEY DEVILS",13,4,31,0.2903226
"COLORADO AVALANCHE",8,1,25,0.28
"COLUMBUS BLUE JACKETS",11,3,29,0.2758621
"VANCOUVER CANUCKS",11,4,27,0.2592593
"DETROIT RED WINGS",10,3,28,0.25
"NEW YORK RANGERS",7,1,25,0.24
"SAN JOSE SHARKS",8,2,27,0.2222222
"FLORIDA PANTHERS",8,3,23,0.2173913
"LOS ANGELES KINGS",8,3,25,0.2
"WASHINGTON CAPITALS",11,6,28,0.1785714
"CALGARY FLAMES",8,3,29,0.1724138
"OTTAWA SENATORS",9,4,30,0.1666667
"PHILADELPHIA FLYERS",7,3,25,0.16
"WINNIPEG JETS",5,1,28,0.1428571
"PHOENIX COYOTES",6,3,27,0.1111111
"PITTSBURGH PENGUINS",6,4,21,0.0952381
"NASHVILLE PREDATORS",7,5,32,0.0625
"NEW YORK ISLANDERS",4,3,19,0.0526316
"DALLAS STARS",4,3,21,0.047619
"TAMPA BAY LIGHTNING",5,4,23,0.0434783
"MONTREAL CANADIENS",7,7,24,0
"BUFFALO SABRES",3,3,26,0
"BOSTON BRUINS",4,4,17,0
"ST. LOUIS BLUES",5,6,30,-0.0333333
"CHICAGO BLACKHAWKS",2,3,18,-0.0555556
"TORONTO MAPLE LEAFS",3,4,18,-0.0555556
"MINNESOTA WILD",3,6,29,-0.1034483
"EDMONTON OILERS",2,4,17,-0.1176471
"ANAHEIM DUCKS",7,11,29,-0.137931
