Team,Scored,Allowed,Count,"Succ. rate"
"BUFFALO SABRES",11,2,27,0.3333333
"PHILADELPHIA FLYERS",12,3,27,0.3333333
"NEW YORK RANGERS",9,4,22,0.2272727
"ANAHEIM DUCKS",10,3,33,0.2121212
"WINNIPEG JETS",10,5,24,0.2083333
"MINNESOTA WILD",10,5,24,0.2083333
"DETROIT RED WINGS",10,5,28,0.1785714
"CAROLINA HURRICANES",8,4,28,0.1428571
"EDMONTON OILERS",6,4,20,0.1
"LOS ANGELES KINGS",4,2,20,0.1
"VANCOUVER CANUCKS",7,5,26,0.0769231
"WASHINGTON CAPITALS",2,1,14,0.0714286
"TORONTO MAPLE LEAFS",3,2,18,0.0555556
"BOSTON BRUINS",5,4,20,0.05
"MONTREAL CANADIENS",4,3,23,0.0434783
"COLORADO AVALANCHE",6,5,25,0.04
"OTTAWA SENATORS",4,4,16,0
"TAMPA BAY LIGHTNING",8,8,29,0
"CALGARY FLAMES",6,6,31,0
"PHOENIX COYOTES",6,6,22,0
"NASHVILLE PREDATORS",4,6,32,-0.0625
"FLORIDA PANTHERS",9,11,29,-0.0689655
"SAN JOSE SHARKS",5,7,22,-0.0909091
"NEW JERSEY DEVILS",4,6,19,-0.1052632
"COLUMBUS BLUE JACKETS",3,5,16,-0.125
"NEW YORK ISLANDERS",5,9,26,-0.1538462
"DALLAS STARS",2,6,23,-0.173913
"PITTSBURGH PENGUINS",0,2,11,-0.1818182
"CHICAGO BLACKHAWKS",2,8,20,-0.3
"ST. LOUIS BLUES",3,8,16,-0.3125
