Team,Scored,Allowed,Count,"Succ. rate"
"CAROLINA HURRICANES",14,2,25,0.48
"WASHINGTON CAPITALS",16,3,29,0.4482759
"TORONTO MAPLE LEAFS",15,3,27,0.4444444
"VANCOUVER CANUCKS",13,3,26,0.3846154
"WINNIPEG JETS",16,5,30,0.3666667
"PITTSBURGH PENGUINS",12,3,25,0.36
"EDMONTON OILERS",12,2,28,0.3571429
"ARIZONA COYOTES",16,5,32,0.34375
"NEW YORK RANGERS",12,3,28,0.3214286
"ST. LOUIS BLUES",13,4,31,0.2903226
"CHICAGO BLACKHAWKS",10,5,19,0.2631579
"CALGARY FLAMES",9,3,23,0.2608696
"OTTAWA SENATORS",10,5,20,0.25
"NEW JERSEY DEVILS",8,2,25,0.24
"PHILADELPHIA FLYERS",8,3,21,0.2380952
"BOSTON BRUINS",13,6,34,0.2058824
"FLORIDA PANTHERS",10,5,26,0.1923077
"TAMPA BAY LIGHTNING",12,8,31,0.1290323
"DALLAS STARS",8,5,25,0.12
"VEGAS GOLDEN KNIGHTS",8,5,26,0.1153846
"COLORADO AVALANCHE",13,9,38,0.1052632
"BUFFALO SABRES",8,6,24,0.0833333
"NASHVILLE PREDATORS",8,6,29,0.0689655
"DETROIT RED WINGS",7,6,21,0.047619
"SAN JOSE SHARKS",8,7,28,0.0357143
"COLUMBUS BLUE JACKETS",10,9,28,0.0357143
"NEW YORK ISLANDERS",9,9,31,0
"MONTREAL CANADIENS",7,7,22,0
"MINNESOTA WILD",9,9,32,0
"LOS ANGELES KINGS",7,7,29,0
"ANAHEIM DUCKS",5,6,21,-0.047619
