Team,Scored,Allowed,Count,"Succ. rate"
"CHICAGO BLACKHAWKS",19,2,35,0.4857143
"BOSTON BRUINS",15,2,31,0.4193548
"MINNESOTA WILD",16,2,34,0.4117647
"OTTAWA SENATORS",16,3,35,0.3714286
"PITTSBURGH PENGUINS",10,1,25,0.36
"DALLAS STARS",12,3,26,0.3461538
"TAMPA BAY LIGHTNING",11,4,25,0.28
"ST. LOUIS BLUES",18,8,37,0.2702703
"NEW YORK RANGERS",14,5,34,0.2647059
"MONTREAL CANADIENS",7,1,24,0.25
"SAN JOSE SHARKS",12,4,33,0.2424242
"NASHVILLE PREDATORS",11,4,30,0.2333333
"PHILADELPHIA FLYERS",7,2,23,0.2173913
"FLORIDA PANTHERS",8,3,23,0.2173913
"WASHINGTON CAPITALS",11,4,36,0.1944444
"WINNIPEG JETS",13,6,37,0.1891892
"COLORADO AVALANCHE",5,2,16,0.1875
"CALGARY FLAMES",9,4,27,0.1851852
"ANAHEIM DUCKS",8,3,30,0.1666667
"EDMONTON OILERS",10,6,30,0.1333333
"NEW YORK ISLANDERS",10,6,32,0.125
"BUFFALO SABRES",6,3,24,0.125
"NEW JERSEY DEVILS",6,4,21,0.0952381
"CAROLINA HURRICANES",8,6,30,0.0666667
"COLUMBUS BLUE JACKETS",9,7,32,0.0625
"LOS ANGELES KINGS",7,6,23,0.0434783
"VANCOUVER CANUCKS",3,3,18,0
"ARIZONA COYOTES",4,5,20,-0.05
"TORONTO MAPLE LEAFS",8,10,31,-0.0645161
"DETROIT RED WINGS",3,4,15,-0.0666667
