Team,Scored,Allowed,Count,"Succ. rate"
"COLUMBUS BLUE JACKETS",9,2,23,0.3043478
"WINNIPEG JETS",9,4,18,0.2777778
"OTTAWA SENATORS",10,2,29,0.2758621
"COLORADO AVALANCHE",8,2,22,0.2727273
"LOS ANGELES KINGS",8,3,20,0.25
"PITTSBURGH PENGUINS",10,4,29,0.2068966
"CHICAGO BLACKHAWKS",10,5,27,0.1851852
"CAROLINA HURRICANES",5,1,22,0.1818182
"DETROIT RED WINGS",9,4,28,0.1785714
"DALLAS STARS",8,3,29,0.1724138
"NASHVILLE PREDATORS",9,5,25,0.16
"TAMPA BAY LIGHTNING",11,7,27,0.1481481
"ST. LOUIS BLUES",9,5,28,0.1428571
"PHOENIX COYOTES",9,5,28,0.1428571
"BOSTON BRUINS",8,5,30,0.1
"CALGARY FLAMES",8,5,33,0.0909091
"NEW JERSEY DEVILS",5,3,23,0.0869565
"WASHINGTON CAPITALS",7,5,25,0.08
"BUFFALO SABRES",8,6,27,0.0740741
"PHILADELPHIA FLYERS",7,5,29,0.0689655
"VANCOUVER CANUCKS",5,4,20,0.05
"MONTREAL CANADIENS",6,5,23,0.0434783
"ANAHEIM DUCKS",6,5,32,0.03125
"NEW YORK RANGERS",4,4,24,0
"FLORIDA PANTHERS",6,6,32,0
"TORONTO MAPLE LEAFS",4,4,22,0
"MINNESOTA WILD",4,5,31,-0.0322581
"NEW YORK ISLANDERS",5,6,26,-0.0384615
"EDMONTON OILERS",6,7,26,-0.0384615
"SAN JOSE SHARKS",2,6,32,-0.125
