Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Vancouver Canucks,51-22-9,8-7,7-2,27-10-4,24-12-5,11-6-1,40-16-8,2-2-1,6-2-0,3-2-0,11-6-3,18-5-1,11-5-4,27-9-9,19-7-0,5-5-1,9-4-0,10-4-1,7-2-2,9-1-4,9-5-1,2-1-0
2,New York Rangers,51-24-7,4-5,8-2,27-12-2,24-12-5,41-18-5,10-6-2,15-7-2,11-8-1,15-3-2,3-3-0,3-2-0,4-1-2,21-5-7,17-12-0,4-3-3,9-2-0,10-4-1,8-3-1,9-3-1,10-6-1,1-3-0
3,St. Louis Blues,49-22-11,4-10,3-1,30-6-5,19-16-6,14-2-2,35-20-9,5-0-1,3-1-1,6-1-0,10-9-5,12-5-3,13-6-1,20-7-11,17-5-0,5-6-0,9-2-2,7-4-3,8-1-2,11-4-0,8-4-3,1-1-1
4,Pittsburgh Penguins,51-25-6,9-3,2-3,29-10-2,22-15-4,38-23-3,13-2-3,13-10-1,11-8-1,14-5-1,4-1-1,5-0-1,4-1-1,17-9-6,21-6-0,8-3-2,6-4-2,7-6-0,8-4-0,8-4-1,11-3-1,3-1-0
5,Nashville Predators,48-26-8,5-5,3-3,26-10-5,22-16-3,8-7-3,40-19-5,2-3-1,1-2-2,5-2-0,16-5-3,13-6-1,11-8-1,20-10-8,12-13-0,5-4-2,6-5-2,9-5-0,11-2-0,6-4-3,8-6-1,3-0-0
6,Philadelphia Flyers,47-26-9,4-7,6-2,22-13-6,25-13-3,36-21-7,11-5-2,11-11-2,14-3-3,11-7-2,4-3-0,3-1-1,4-1-1,25-5-9,16-8-0,6-4-1,7-3-2,9-3-1,7-4-2,5-7-1,11-3-2,2-2-0
7,Boston Bruins,49-29-4,9-3,2-1,24-14-3,25-15-1,38-23-3,11-6-1,12-7-1,19-4-1,7-12-1,5-0-1,2-3-0,4-3-0,19-12-4,20-7-0,3-7-0,12-0-1,9-3-0,8-4-1,5-7-1,9-7-1,3-1-0
8,Detroit Red Wings,48-28-6,9-3,3-3,31-7-3,17-21-3,10-7-1,38-21-5,2-3-1,4-2-0,4-2-0,13-10-1,11-6-3,14-5-1,20-13-6,19-9-0,5-4-0,10-3-1,9-6-0,10-3-0,8-3-2,4-8-2,2-1-1
9,New Jersey Devils,48-28-6,12-4,4-2,24-13-4,24-15-2,38-22-4,10-6-2,13-11-0,11-5-4,14-6-0,4-0-1,2-4-0,4-2-1,24-7-6,11-11-0,4-4-1,8-6-0,9-5-0,6-4-2,8-4-1,10-5-2,3-0-0
10,Chicago Blackhawks,45-26-11,7-7,4-4,27-8-6,18-18-5,12-3-3,33-23-8,4-2-1,4-0-1,4-1-1,16-6-2,8-8-4,9-9-2,22-6-11,18-14-0,7-2-2,7-6-1,10-2-1,5-5-3,5-9-0,10-2-2,1-0-2
