Team,Scored,Allowed,Count,"Succ. rate"
"DALLAS STARS",24,1,41,0.5609756
"SAN JOSE SHARKS",18,4,35,0.4
"TORONTO MAPLE LEAFS",12,3,23,0.3913043
"CHICAGO BLACKHAWKS",17,5,32,0.375
"BOSTON BRUINS",13,3,28,0.3571429
"BUFFALO SABRES",13,3,29,0.3448276
"LOS ANGELES KINGS",9,1,26,0.3076923
"TAMPA BAY LIGHTNING",13,4,30,0.3
"EDMONTON OILERS",6,1,17,0.2941176
"MONTREAL CANADIENS",10,3,26,0.2692308
"PITTSBURGH PENGUINS",12,5,28,0.25
"NEW YORK ISLANDERS",14,6,32,0.25
"WINNIPEG JETS",13,6,29,0.2413793
"FLORIDA PANTHERS",15,6,38,0.2368421
"MINNESOTA WILD",15,7,35,0.2285714
"NASHVILLE PREDATORS",14,6,35,0.2285714
"WASHINGTON CAPITALS",14,5,40,0.225
"OTTAWA SENATORS",16,9,33,0.2121212
"ANAHEIM DUCKS",12,6,34,0.1764706
"ARIZONA COYOTES",9,5,23,0.173913
"VANCOUVER CANUCKS",10,6,24,0.1666667
"NEW YORK RANGERS",16,10,41,0.1463415
"COLORADO AVALANCHE",10,6,29,0.137931
"CALGARY FLAMES",7,4,23,0.1304348
"CAROLINA HURRICANES",7,5,23,0.0869565
"NEW JERSEY DEVILS",7,5,27,0.0740741
"PHILADELPHIA FLYERS",11,9,29,0.0689655
"COLUMBUS BLUE JACKETS",10,9,25,0.04
"ST. LOUIS BLUES",11,10,38,0.0263158
"DETROIT RED WINGS",9,9,33,0
