Team,Scored,Allowed,Count,"Succ. rate"
"SAN JOSE SHARKS",19,2,32,0.53125
"VANCOUVER CANUCKS",21,4,37,0.4594595
"CHICAGO BLACKHAWKS",12,1,24,0.4583333
"CALGARY FLAMES",12,1,26,0.4230769
"OTTAWA SENATORS",12,2,25,0.4
"EDMONTON OILERS",8,2,19,0.3157895
"NEW YORK RANGERS",12,2,33,0.3030303
"MONTREAL CANADIENS",13,5,28,0.2857143
"COLUMBUS BLUE JACKETS",11,4,29,0.2413793
"MINNESOTA WILD",9,2,29,0.2413793
"CAROLINA HURRICANES",8,3,22,0.2272727
"BOSTON BRUINS",8,3,24,0.2083333
"PHILADELPHIA FLYERS",8,4,20,0.2
"NEW YORK ISLANDERS",9,4,26,0.1923077
"TORONTO MAPLE LEAFS",8,4,21,0.1904762
"WASHINGTON CAPITALS",11,5,33,0.1818182
"WINNIPEG JETS",9,5,24,0.1666667
"DETROIT RED WINGS",12,7,31,0.1612903
"ST. LOUIS BLUES",10,5,31,0.1612903
"ANAHEIM DUCKS",12,6,39,0.1538462
"NEW JERSEY DEVILS",9,6,26,0.1153846
"TAMPA BAY LIGHTNING",12,8,35,0.1142857
"FLORIDA PANTHERS",7,5,27,0.0740741
"LOS ANGELES KINGS",6,5,31,0.0322581
"PITTSBURGH PENGUINS",6,6,26,0
"COLORADO AVALANCHE",6,6,21,0
"PHOENIX COYOTES",4,4,15,0
"BUFFALO SABRES",4,5,20,-0.05
"DALLAS STARS",9,11,37,-0.0540541
"NASHVILLE PREDATORS",5,8,34,-0.0882353
