Team,Scored,Allowed,Count,"Succ. rate"
"COLORADO AVALANCHE",17,4,27,0.4814815
"CAROLINA HURRICANES",20,2,39,0.4615385
"BOSTON BRUINS",13,1,29,0.4137931
"CALGARY FLAMES",20,6,37,0.3783784
"OTTAWA SENATORS",11,4,19,0.3684211
"MONTREAL CANADIENS",14,3,30,0.3666667
"VANCOUVER CANUCKS",13,4,25,0.36
"SAN JOSE SHARKS",12,2,28,0.3571429
"VEGAS GOLDEN KNIGHTS",14,3,31,0.3548387
"COLUMBUS BLUE JACKETS",15,5,30,0.3333333
"NASHVILLE PREDATORS",19,6,39,0.3333333
"ARIZONA COYOTES",12,3,28,0.3214286
"WINNIPEG JETS",18,6,38,0.3157895
"NEW YORK ISLANDERS",15,5,32,0.3125
"TAMPA BAY LIGHTNING",16,6,36,0.2777778
"LOS ANGELES KINGS",12,6,23,0.2608696
"PHILADELPHIA FLYERS",14,6,31,0.2580645
"MINNESOTA WILD",12,4,31,0.2580645
"NEW YORK RANGERS",10,4,25,0.24
"DALLAS STARS",11,5,32,0.1875
"TORONTO MAPLE LEAFS",13,7,32,0.1875
"BUFFALO SABRES",7,4,19,0.1578947
"WASHINGTON CAPITALS",15,9,39,0.1538462
"FLORIDA PANTHERS",12,8,30,0.1333333
"PITTSBURGH PENGUINS",12,8,31,0.1290323
"EDMONTON OILERS",6,4,18,0.1111111
"ST. LOUIS BLUES",9,6,28,0.1071429
"CHICAGO BLACKHAWKS",12,11,31,0.0322581
"DETROIT RED WINGS",9,9,26,0
"ANAHEIM DUCKS",8,8,30,0
"NEW JERSEY DEVILS",10,11,24,-0.0416667
